Time,PID,Event
11438,92,Job arrived at CPU.
11438,92,Job started at CPU.
11451,92,Job finished at CPU.
11451,92,Going to disk
11451,92,Arrived at disk 2
11524,29,Job finished at disk 2.
11524,29,Returning to CPU
11524,34,Job started at disk 2.
11524,29,Job arrived at CPU.
11524,29,Job started at CPU.
11536,29,Job finished at CPU.
11536,29,Job complete.
11581,93,Job arrived at CPU.
11581,93,Job started at CPU.
11593,93,Job finished at CPU.
11593,93,Going to disk
11593,93,Arrived at disk 2
11727,94,Job arrived at CPU.
11727,94,Job started at CPU.
11737,94,Job finished at CPU.
11737,94,Going to disk
11737,94,Arrived at disk 1
11846,95,Job arrived at CPU.
11846,95,Job started at CPU.
11859,95,Job finished at CPU.
11859,95,Going to disk
11859,95,Arrived at disk 2
11993,96,Job arrived at CPU.
11993,96,Job started at CPU.
12008,96,Job finished at CPU.
12008,96,Going to disk
12008,96,Arrived at disk 1
12103,97,Job arrived at CPU.
12103,97,Job started at CPU.
12116,97,Job finished at CPU.
12116,97,Job complete.
12174,35,Job finished at disk 1.
12174,35,Returning to CPU
12174,37,Job started at disk 1.
12174,35,Job arrived at CPU.
12174,35,Job started at CPU.
12186,35,Job finished at CPU.
12186,35,Going to disk
12186,35,Arrived at disk 1
12204,98,Job arrived at CPU.
12204,98,Job started at CPU.
12215,98,Job finished at CPU.
12215,98,Going to disk
12215,98,Arrived at disk 2
12317,99,Job arrived at CPU.
12317,99,Job started at CPU.
12331,99,Job finished at CPU.
12331,99,Going to disk
12331,99,Arrived at disk 1
12405,34,Job finished at disk 2.
12405,34,Returning to CPU
12405,11,Job started at disk 2.
12405,34,Job arrived at CPU.
12405,34,Job started at CPU.
12415,34,Job finished at CPU.
12415,34,Job complete.
12419,100,Job arrived at CPU.
12419,100,Job started at CPU.
12434,100,Job finished at CPU.
12434,100,Job complete.
12533,101,Job arrived at CPU.
12533,101,Job started at CPU.
12545,101,Job finished at CPU.
12545,101,Going to disk
12545,101,Arrived at disk 2
12673,102,Job arrived at CPU.
12673,102,Job started at CPU.
12687,102,Job finished at CPU.
12687,102,Going to disk
12687,102,Arrived at disk 2
12803,103,Job arrived at CPU.
12803,103,Job started at CPU.
12818,103,Job finished at CPU.
12818,103,Going to disk
12818,103,Arrived at disk 1
12870,37,Job finished at disk 1.
12870,37,Returning to CPU
12870,39,Job started at disk 1.
12870,37,Job arrived at CPU.
12870,37,Job started at CPU.
12883,37,Job finished at CPU.
12883,37,Job complete.
12908,104,Job arrived at CPU.
12908,104,Job started at CPU.
12919,104,Job finished at CPU.
12919,104,Going to disk
12919,104,Arrived at disk 1
13006,11,Job finished at disk 2.
13006,11,Returning to CPU
13006,36,Job started at disk 2.
13006,11,Job arrived at CPU.
13006,11,Job started at CPU.
13008,105,Job arrived at CPU.
13016,11,Job finished at CPU.
13016,11,Going to disk
13016,105,Job started at CPU.
13016,11,Arrived at disk 2
13029,105,Job finished at CPU.
13029,105,Going to disk
13029,105,Arrived at disk 2
13156,106,Job arrived at CPU.
13156,106,Job started at CPU.
13166,106,Job finished at CPU.
13166,106,Going to disk
13166,106,Arrived at disk 1
13288,107,Job arrived at CPU.
13288,107,Job started at CPU.
13298,107,Job finished at CPU.
13298,107,Going to disk
13298,107,Arrived at disk 2
13388,108,Job arrived at CPU.
13388,108,Job started at CPU.
13399,108,Job finished at CPU.
13399,108,Job complete.
13514,109,Job arrived at CPU.
13514,109,Job started at CPU.
13523,39,Job finished at disk 1.
13523,39,Returning to CPU
13523,41,Job started at disk 1.
13523,39,Job arrived at CPU.
13525,109,Job finished at CPU.
13525,109,Going to disk
13525,39,Job started at CPU.
13525,109,Arrived at disk 1
13535,39,Job finished at CPU.
